placement_id,job_title,job_post_date,fill_date,days_to_fill,placement_fee,client_id,recruiter_id,candidate_country,client_country,daily_rate,is_fast_fill,fee_category,client_name,industry,recruiter_name,seniority
22,Senior IT Support,2023-09-01,2023-09-24,23,5590.39,63,7,India,Australia,243.06,True,High,PeakHire Group 63,Technology,Sarah Johnson,Junior
23,HR Manager,2024-02-21,2024-03-16,24,1728.99,13,22,Pakistan,Canada,72.04,True,Low,SwiftTalent Agency 13,Technology,Sarah Taylor,Mid
24,HR Manager,2023-04-11,2023-05-09,28,5335.12,94,11,India,United Kingdom,190.54,True,High,PeakHire Group 94,Technology,Ahmed Smith,Mid
25,Junior Developer,2023-07-07,2023-08-01,25,2608.86,32,28,India,United Kingdom,104.35,True,Medium,BlueStar Recruitment 32,Finance,Zara Malik,Junior
26,Senior IT Support,2023-01-16,2023-02-21,36,3252.94,97,28,Philippines,United States,90.36,False,Medium,ClearPath Hiring 97,Retail,Zara Malik,Junior
27,HR Manager,2023-03-02,2023-03-23,21,2444.08,1,13,Pakistan,UAE,116.38,True,Medium,CoreHire Solutions 1,Finance,Priya Ahmed,Mid
28,HR Manager,2024-05-13,2024-06-22,40,4426.25,38,7,Nigeria,United Kingdom,110.66,False,Medium,SwiftTalent Agency 38,Finance,Sarah Johnson,Junior
29,Senior IT Support,2024-05-03,2024-06-09,37,5590.39,68,6,Kenya,United Kingdom,151.09,False,High,TalentBridge Solutions 68,Retail,Emma Smith,Mid
30,Junior Developer,2023-08-29,2023-09-23,25,2471.31,73,8,Philippines,Australia,98.85,True,Medium,PeakHire Group 73,Manufacturing,Chen Smith,Mid
31,Senior IT Support,2024-06-19,2024-07-15,26,5096.12,34,7,Kenya,UAE,196.0,True,High,SwiftTalent Agency 34,Manufacturing,Sarah Johnson,Junior
32,HR Manager,2024-04-13,2024-05-09,26,3654.39,97,30,India,United Kingdom,140.55,True,Medium,ClearPath Hiring 97,Retail,Raj Ali,Junior
33,Senior IT Support,2023-09-29,2023-10-21,22,3366.3,45,29,Pakistan,United Kingdom,153.01,True,Medium,RapidHire Partners 45,Finance,Sarah Patel,Junior
34,Data Analyst,2023-11-06,2023-12-07,31,1854.96,84,17,Nigeria,United Kingdom,59.84,False,Low,PrimePath Staffing 84,Manufacturing,Zara Jones,Junior
35,Data Analyst,2023-05-18,2023-06-21,34,3795.27,14,24,Kenya,Australia,111.63,False,Medium,PrimePath Staffing 14,Finance,Raj Ali,Senior
36,Data Analyst,2023-07-28,2023-08-16,19,2814.49,34,17,Pakistan,Canada,148.13,True,Medium,SwiftTalent Agency 34,Manufacturing,Zara Jones,Junior
37,Senior IT Support,2023-02-15,2023-03-09,22,6171.42,99,5,India,UAE,280.52,True,High,RapidHire Partners 99,Finance,Emma Johnson,Mid
38,HR Manager,2023-06-02,2023-06-24,22,5804.53,48,19,Pakistan,Australia,263.84,True,High,NexGen Recruitment 48,Technology,Aisha Wilson,Junior
39,Junior Developer,2023-02-10,2023-03-03,21,1125.49,27,22,Pakistan,United States,53.59,True,Low,TrueNorth Staffing 27,Finance,Sarah Taylor,Mid
40,Data Analyst,2024-02-21,2024-03-19,27,3340.35,96,5,Kenya,United States,123.72,True,Medium,EliteForce Staffing 96,Technology,Emma Johnson,Mid
41,Junior Developer,2023-12-07,2024-01-06,30,2471.31,53,26,Nigeria,United States,82.38,False,Medium,TalentBridge Solutions 53,Healthcare,David Smith,Junior
42,Senior IT Support,2024-04-26,2024-05-20,24,5590.39,59,12,India,UAE,232.93,True,High,ApexRecruit Ltd 59,Manufacturing,Emma Khan,Senior
43,Junior Developer,2024-02-13,2024-03-24,40,1668.77,9,25,Nigeria,UAE,41.72,False,Low,TrueNorth Staffing 9,Healthcare,Priya Jones,Junior
44,HR Manager,2023-12-06,2024-01-07,32,6397.59,15,29,India,UAE,199.92,False,High,NexGen Recruitment 15,Retail,Sarah Patel,Junior
45,Data Analyst,2023-12-20,2024-01-13,24,1114.77,41,14,Pakistan,Australia,46.45,True,Low,PeakHire Group 41,Retail,Omar Singh,Senior
46,HR Manager,2023-02-15,2023-03-12,25,7497.52,1,17,Philippines,Australia,299.9,True,High,CoreHire Solutions 1,Finance,Zara Jones,Junior
47,Junior Developer,2023-12-05,2024-01-11,37,2471.31,85,28,Kenya,United Kingdom,66.79,False,Medium,TalentBridge Solutions 85,Manufacturing,Zara Malik,Junior
48,Data Analyst,2023-10-30,2023-11-29,30,3000.68,25,14,Kenya,Canada,100.02,False,Medium,NexGen Recruitment 25,Retail,Omar Singh,Senior
49,Junior Developer,2023-01-01,2023-02-07,37,2846.54,27,14,Kenya,Australia,76.93,False,Medium,TrueNorth Staffing 27,Finance,Omar Singh,Senior
50,Data Analyst,2023-08-07,2023-09-12,36,2394.96,95,6,Kenya,United Kingdom,66.53,False,Medium,ProLink HR 95,Healthcare,Emma Smith,Mid
51,Data Analyst,2023-08-29,2023-09-28,30,1280.16,29,26,India,United States,42.67,False,Low,ClearPath Hiring 29,Retail,David Smith,Junior
52,Senior IT Support,2023-03-16,2023-03-31,15,4224.21,81,19,Pakistan,United States,281.61,True,Medium,TalentBridge Solutions 81,Technology,Aisha Wilson,Junior
53,HR Manager,2023-01-06,2023-02-12,37,5471.89,99,29,Kenya,United Kingdom,147.89,False,High,RapidHire Partners 99,Finance,Sarah Patel,Junior
54,Junior Developer,2024-06-14,2024-07-18,34,1527.66,72,8,Nigeria,United Kingdom,44.93,False,Low,ProLink HR 72,Retail,Chen Smith,Mid
55,HR Manager,2023-11-21,2023-12-17,26,6337.89,57,20,Philippines,Australia,243.76,True,High,CoreHire Solutions 57,Healthcare,Chen Hassan,Mid
56,HR Manager,2024-05-01,2024-06-02,32,7486.04,97,8,Philippines,UAE,233.94,False,High,ClearPath Hiring 97,Retail,Chen Smith,Mid
57,HR Manager,2023-03-21,2023-04-30,40,2880.25,31,9,Nigeria,UAE,72.01,False,Medium,BlueStar Recruitment 31,Manufacturing,Aisha Johnson,Mid
58,Senior IT Support,2023-06-06,2023-07-06,30,3691.87,9,14,India,Canada,123.06,False,Medium,TrueNorth Staffing 9,Healthcare,Omar Singh,Senior
59,HR Manager,2024-03-06,2024-04-05,30,5078.87,99,19,India,United Kingdom,169.3,False,High,RapidHire Partners 99,Finance,Aisha Wilson,Junior
60,HR Manager,2023-11-02,2023-12-14,42,5384.9,54,18,Nigeria,Australia,128.21,False,High,PrimePath Staffing 54,Technology,Carlos Brown,Senior
61,Junior Developer,2024-05-12,2024-06-18,37,2464.69,44,22,Nigeria,Canada,66.61,False,Medium,TrueNorth Staffing 44,Healthcare,Sarah Taylor,Mid
62,HR Manager,2023-01-28,2023-02-25,28,7597.71,76,19,Kenya,United Kingdom,271.35,True,High,ClearPath Hiring 76,Finance,Aisha Wilson,Junior
63,HR Manager,2023-02-21,2023-03-18,25,3678.5,42,7,Pakistan,Canada,147.14,True,Medium,NexGen Recruitment 42,Healthcare,Sarah Johnson,Junior
64,HR Manager,2024-03-07,2024-04-03,27,4391.28,11,16,India,United Kingdom,162.64,True,Medium,NexGen Recruitment 11,Manufacturing,Omar Ali,Junior
65,Senior IT Support,2023-03-12,2023-04-15,34,7999.54,84,2,Kenya,United Kingdom,235.28,False,High,PrimePath Staffing 84,Manufacturing,Priya Patel,Mid
66,Senior IT Support,2024-04-29,2024-05-24,25,6106.68,73,7,India,Canada,244.27,True,High,PeakHire Group 73,Manufacturing,Sarah Johnson,Junior
67,Data Analyst,2023-04-28,2023-05-28,30,1503.37,21,10,Kenya,United Kingdom,50.11,False,Low,TalentBridge Solutions 21,Manufacturing,Omar Davis,Senior
68,Data Analyst,2024-01-20,2024-02-15,26,2727.39,92,7,Kenya,United Kingdom,104.9,True,Medium,ClearPath Hiring 92,Manufacturing,Sarah Johnson,Junior
69,Junior Developer,2023-05-04,2023-06-10,37,1305.7,73,26,Kenya,United Kingdom,35.29,False,Low,PeakHire Group 73,Manufacturing,David Smith,Junior
70,HR Manager,2023-12-16,2024-01-15,30,4416.9,54,27,India,Canada,147.23,False,Medium,PrimePath Staffing 54,Technology,Zara Ahmed,Junior
71,Data Analyst,2023-06-06,2023-06-27,21,2906.76,94,17,Pakistan,UAE,138.42,True,Medium,PeakHire Group 94,Technology,Zara Jones,Junior
72,HR Manager,2023-10-02,2023-11-09,38,2394.62,32,27,Kenya,United Kingdom,63.02,False,Medium,BlueStar Recruitment 32,Finance,Zara Ahmed,Junior
73,Junior Developer,2024-01-24,2024-02-22,29,3251.43,64,28,India,UAE,112.12,False,Medium,PeakHire Group 64,Retail,Zara Malik,Junior
74,Junior Developer,2023-10-14,2023-11-05,22,2064.47,90,29,Pakistan,UAE,93.84,True,Medium,BrightForce Group 90,Manufacturing,Sarah Patel,Junior
75,Junior Developer,2024-05-15,2024-06-08,24,1256.84,31,23,Philippines,Canada,52.37,True,Low,BlueStar Recruitment 31,Manufacturing,Zara Smith,Senior
76,HR Manager,2023-10-29,2023-12-05,37,4416.9,89,8,Kenya,UAE,119.38,False,Medium,PeakHire Group 89,Retail,Chen Smith,Mid
77,Data Analyst,2024-03-11,2024-04-15,35,2419.78,71,11,Kenya,UAE,69.14,False,Medium,NexGen Recruitment 71,Retail,Ahmed Smith,Mid
78,Data Analyst,2023-07-17,2023-08-19,33,1919.87,96,18,Kenya,United States,58.18,False,Low,EliteForce Staffing 96,Technology,Carlos Brown,Senior
79,HR Manager,2024-06-21,2024-07-16,25,1829.5,13,27,India,United States,73.18,True,Low,SwiftTalent Agency 13,Technology,Zara Ahmed,Junior
80,Data Analyst,2023-05-10,2023-06-04,25,2477.8199999999997,7,18,India,UAE,99.11,True,Medium,PeakHire Group 7,Healthcare,Carlos Brown,Senior
81,HR Manager,2023-10-19,2023-11-16,28,4416.9,57,11,Kenya,United States,157.75,True,Medium,CoreHire Solutions 57,Healthcare,Ahmed Smith,Mid
82,HR Manager,2024-05-18,2024-06-06,19,4416.9,81,22,Pakistan,United Kingdom,232.47,True,Medium,TalentBridge Solutions 81,Technology,Sarah Taylor,Mid
83,Data Analyst,2024-03-02,2024-03-19,17,1255.54,80,8,Pakistan,Australia,73.86,True,Low,ClearPath Hiring 80,Finance,Chen Smith,Mid
84,HR Manager,2024-03-15,2024-04-15,31,4486.77,80,2,Philippines,Australia,144.73,False,Medium,ClearPath Hiring 80,Finance,Priya Patel,Mid
85,Junior Developer,2023-03-25,2023-04-21,27,2876.55,23,18,Kenya,United Kingdom,106.54,True,Medium,BlueStar Recruitment 23,Technology,Carlos Brown,Senior
86,HR Manager,2023-10-26,2023-11-10,15,5252.52,37,23,Pakistan,UAE,350.17,True,High,PeakHire Group 37,Healthcare,Zara Smith,Senior
87,Senior IT Support,2023-07-22,2023-08-24,33,6436.92,70,8,Kenya,United States,195.06,False,High,SwiftTalent Agency 70,Finance,Chen Smith,Mid
88,Junior Developer,2023-11-11,2023-12-13,32,1214.23,73,30,Nigeria,UAE,37.94,False,Low,PeakHire Group 73,Manufacturing,Raj Ali,Junior
89,HR Manager,2023-10-06,2023-10-31,25,6443.39,64,15,Philippines,United Kingdom,257.74,True,High,PeakHire Group 64,Retail,Emma Williams,Senior
90,HR Manager,2023-01-27,2023-02-22,26,6672.67,87,27,Kenya,Australia,256.64,True,High,ClearPath Hiring 87,Manufacturing,Zara Ahmed,Junior
91,Data Analyst,2023-06-29,2023-07-25,26,2728.74,84,15,Kenya,UAE,104.95,True,Medium,PrimePath Staffing 84,Manufacturing,Emma Williams,Senior
92,HR Manager,2023-04-04,2023-04-28,24,6173.92,53,11,Pakistan,UAE,257.25,True,High,TalentBridge Solutions 53,Healthcare,Ahmed Smith,Mid
93,Junior Developer,2023-10-23,2023-11-19,27,1989.41,52,27,Kenya,Australia,73.68,True,Low,TalentBridge Solutions 52,Technology,Zara Ahmed,Junior
94,Senior IT Support,2024-02-18,2024-03-11,22,4572.59,1,22,Pakistan,Australia,207.84,True,Medium,CoreHire Solutions 1,Finance,Sarah Taylor,Mid
95,Senior IT Support,2024-05-25,2024-06-24,30,3937.91,98,2,Philippines,United States,131.26,False,Medium,BlueStar Recruitment 98,Retail,Priya Patel,Mid
96,Junior Developer,2024-05-11,2024-06-10,30,3783.02,81,20,India,United States,126.1,False,Medium,TalentBridge Solutions 81,Technology,Chen Hassan,Mid
97,Data Analyst,2023-04-06,2023-05-04,28,2652.52,15,15,Kenya,United Kingdom,94.73,True,Medium,NexGen Recruitment 15,Retail,Emma Williams,Senior
98,HR Manager,2023-10-07,2023-11-04,28,3797.96,62,16,Kenya,United States,135.64,True,Medium,ClearPath Hiring 62,Healthcare,Omar Ali,Junior
99,Junior Developer,2024-06-04,2024-07-06,32,2150.76,18,28,Philippines,United Kingdom,67.21,False,Medium,BrightForce Group 18,Manufacturing,Zara Malik,Junior
100,HR Manager,2023-10-01,2023-11-04,34,4699.38,37,24,India,UAE,138.22,False,Medium,PeakHire Group 37,Healthcare,Raj Ali,Senior
101,HR Manager,2024-05-10,2024-06-16,37,3595.78,71,25,Nigeria,Australia,97.18,False,Medium,NexGen Recruitment 71,Retail,Priya Jones,Junior
102,Data Analyst,2023-09-02,2023-10-03,31,3608.81,30,28,Philippines,Canada,116.41,False,Medium,PrimePath Staffing 30,Healthcare,Zara Malik,Junior
103,HR Manager,2024-01-31,2024-02-20,20,3115.68,84,5,Pakistan,Canada,155.78,True,Medium,PrimePath Staffing 84,Manufacturing,Emma Johnson,Mid
104,Data Analyst,2024-03-26,2024-04-12,17,3609.1,59,1,Pakistan,United States,212.3,True,Medium,ApexRecruit Ltd 59,Manufacturing,Carlos Jones,Junior
105,Junior Developer,2023-09-29,2023-11-02,34,1224.48,89,13,Philippines,United Kingdom,36.01,False,Low,PeakHire Group 89,Retail,Priya Ahmed,Mid
106,HR Manager,2024-05-14,2024-06-16,33,7770.7,5,20,Nigeria,United Kingdom,235.48,False,High,EliteForce Staffing 5,Retail,Chen Hassan,Mid
107,Data Analyst,2024-03-20,2024-04-21,32,3992.28,98,21,India,United Kingdom,124.76,False,Medium,BlueStar Recruitment 98,Retail,Priya Taylor,Mid
108,Data Analyst,2023-02-27,2023-03-25,26,2477.8199999999997,48,14,Philippines,United States,95.3,True,Medium,NexGen Recruitment 48,Technology,Omar Singh,Senior
109,HR Manager,2023-06-24,2023-07-24,30,5829.64,79,28,India,Canada,194.32,False,High,BrightForce Group 79,Finance,Zara Malik,Junior
110,Junior Developer,2023-08-26,2023-10-01,36,2493.0,33,15,Kenya,UAE,69.25,False,Medium,CoreHire Solutions 33,Manufacturing,Emma Williams,Senior
111,HR Manager,2023-06-11,2023-07-07,26,7506.05,45,19,Kenya,UAE,288.69,True,High,RapidHire Partners 45,Finance,Aisha Wilson,Junior
112,Data Analyst,2024-01-29,2024-03-01,32,2370.51,14,8,Kenya,Canada,74.08,False,Medium,PrimePath Staffing 14,Finance,Chen Smith,Mid
113,Data Analyst,2024-02-10,2024-03-12,31,3978.08,73,28,Kenya,United Kingdom,128.33,False,Medium,PeakHire Group 73,Manufacturing,Zara Malik,Junior
114,HR Manager,2023-08-24,2023-09-30,37,3498.52,46,8,Nigeria,United States,94.55,False,Medium,RapidHire Partners 46,Retail,Chen Smith,Mid
115,Junior Developer,2023-02-10,2023-03-12,30,2884.74,57,2,Kenya,Australia,96.16,False,Medium,CoreHire Solutions 57,Healthcare,Priya Patel,Mid
116,Junior Developer,2024-03-01,2024-04-03,33,1270.4,17,26,India,Australia,38.5,False,Low,TrueNorth Staffing 17,Retail,David Smith,Junior
117,Data Analyst,2024-05-08,2024-06-10,33,3491.42,38,24,Nigeria,UAE,105.8,False,Medium,SwiftTalent Agency 38,Finance,Raj Ali,Senior
118,HR Manager,2023-08-20,2023-09-18,29,7814.47,93,22,Nigeria,Canada,269.46,False,High,BlueStar Recruitment 93,Technology,Sarah Taylor,Mid
119,Data Analyst,2023-09-28,2023-11-07,40,1270.91,59,12,Nigeria,UAE,31.77,False,Low,ApexRecruit Ltd 59,Manufacturing,Emma Khan,Senior
120,Data Analyst,2023-01-26,2023-02-27,32,1325.04,72,11,Kenya,Australia,41.41,False,Low,ProLink HR 72,Retail,Ahmed Smith,Mid
121,Senior IT Support,2023-11-06,2023-12-08,32,6177.02,15,5,India,United Kingdom,193.03,False,High,NexGen Recruitment 15,Retail,Emma Johnson,Mid
122,HR Manager,2023-05-19,2023-06-07,19,1348.36,48,22,Pakistan,Australia,70.97,True,Low,NexGen Recruitment 48,Technology,Sarah Taylor,Mid
123,Junior Developer,2024-05-16,2024-06-18,33,3656.24,36,2,Philippines,UAE,110.8,False,Medium,RapidHire Partners 36,Retail,Priya Patel,Mid
124,HR Manager,2023-04-12,2023-05-11,29,7752.78,48,18,India,UAE,267.34,False,High,NexGen Recruitment 48,Technology,Carlos Brown,Senior
125,Data Analyst,2024-04-10,2024-05-01,21,1569.43,28,21,Pakistan,Australia,74.73,True,Low,PeakHire Group 28,Healthcare,Priya Taylor,Mid
126,Data Analyst,2023-07-30,2023-08-14,15,1730.71,98,18,Pakistan,United States,115.38,True,Low,BlueStar Recruitment 98,Retail,Carlos Brown,Senior
127,Junior Developer,2023-01-03,2023-02-01,29,1985.68,19,5,Kenya,Australia,68.47,False,Low,GlobalStaff Partners 19,Healthcare,Emma Johnson,Mid
128,Junior Developer,2023-05-15,2023-06-18,34,1329.78,31,19,India,UAE,39.11,False,Low,BlueStar Recruitment 31,Manufacturing,Aisha Wilson,Junior
129,Data Analyst,2024-06-22,2024-07-09,17,1157.2,9,16,Pakistan,Canada,68.07,True,Low,TrueNorth Staffing 9,Healthcare,Omar Ali,Junior
130,Senior IT Support,2023-02-14,2023-03-19,33,5260.03,85,17,Nigeria,UAE,159.39,False,High,TalentBridge Solutions 85,Manufacturing,Zara Jones,Junior
131,Senior IT Support,2024-02-16,2024-03-21,34,3304.13,14,16,Philippines,Canada,97.18,False,Medium,PrimePath Staffing 14,Finance,Omar Ali,Junior
132,Data Analyst,2023-10-09,2023-10-25,16,2477.8199999999997,75,18,Pakistan,UAE,154.86,True,Medium,GlobalStaff Partners 75,Retail,Carlos Brown,Senior
133,Data Analyst,2023-04-12,2023-05-15,33,2361.15,15,28,Philippines,Australia,71.55,False,Medium,NexGen Recruitment 15,Retail,Zara Malik,Junior
134,HR Manager,2023-12-14,2024-01-12,29,5257.77,52,14,Kenya,United Kingdom,181.3,False,High,TalentBridge Solutions 52,Technology,Omar Singh,Senior
135,Data Analyst,2023-06-06,2023-07-04,28,2995.32,61,3,India,United Kingdom,106.98,True,Medium,NexGen Recruitment 61,Finance,Lisa Singh,Senior
136,Senior IT Support,2024-01-17,2024-02-15,29,5159.38,72,2,Nigeria,Australia,177.91,False,High,ProLink HR 72,Retail,Priya Patel,Mid
137,Data Analyst,2024-03-09,2024-04-10,32,3010.04,93,2,Philippines,UAE,94.06,False,Medium,BlueStar Recruitment 93,Technology,Priya Patel,Mid
138,Data Analyst,2023-06-08,2023-07-08,30,1310.8,29,28,Kenya,United Kingdom,43.69,False,Low,ClearPath Hiring 29,Retail,Zara Malik,Junior
139,Data Analyst,2023-08-20,2023-09-19,30,1344.66,72,25,India,Australia,44.82,False,Low,ProLink HR 72,Retail,Priya Jones,Junior
140,Senior IT Support,2023-10-01,2023-11-06,36,6044.97,35,23,Kenya,UAE,167.92,False,High,PeakHire Group 35,Manufacturing,Zara Smith,Senior
141,Data Analyst,2024-02-15,2024-03-19,33,1018.32,95,21,Nigeria,United Kingdom,30.86,False,Low,ProLink HR 95,Healthcare,Priya Taylor,Mid
142,Junior Developer,2023-06-11,2023-07-04,23,2128.58,93,11,Pakistan,Australia,92.55,True,Medium,BlueStar Recruitment 93,Technology,Ahmed Smith,Mid
143,Senior IT Support,2023-02-20,2023-03-19,27,3777.9,35,15,Kenya,Canada,139.92,True,Medium,PeakHire Group 35,Manufacturing,Emma Williams,Senior
144,HR Manager,2024-06-08,2024-07-11,33,5070.92,56,4,Philippines,UAE,153.66,False,High,RapidHire Partners 56,Healthcare,David Davis,Junior
145,HR Manager,2023-08-14,2023-09-19,36,2580.8,77,2,Kenya,United Kingdom,71.69,False,Medium,PeakHire Group 77,Finance,Priya Patel,Mid
146,Junior Developer,2023-10-24,2023-11-19,26,3302.05,1,16,India,Canada,127.0,True,Medium,CoreHire Solutions 1,Finance,Omar Ali,Junior
147,HR Manager,2023-12-29,2024-01-15,17,5662.91,95,2,Pakistan,Canada,333.11,True,High,ProLink HR 95,Healthcare,Priya Patel,Mid
148,Senior IT Support,2024-02-19,2024-03-12,22,7310.55,54,10,Pakistan,United Kingdom,332.3,True,High,PrimePath Staffing 54,Technology,Omar Davis,Senior
149,Data Analyst,2024-04-16,2024-05-10,24,1515.62,47,3,Philippines,Canada,63.15,True,Low,BlueStar Recruitment 47,Manufacturing,Lisa Singh,Senior
150,Junior Developer,2023-03-22,2023-04-20,29,2307.03,40,24,Nigeria,UAE,79.55,False,Medium,NexGen Recruitment 40,Technology,Raj Ali,Senior
151,Junior Developer,2024-06-27,2024-07-24,27,1229.14,100,12,India,UAE,45.52,True,Low,TalentBridge Solutions 100,Manufacturing,Emma Khan,Senior
152,Junior Developer,2023-07-22,2023-08-27,36,1708.81,20,25,Kenya,United Kingdom,47.47,False,Low,PrimePath Staffing 20,Manufacturing,Priya Jones,Junior
153,HR Manager,2024-04-04,2024-04-29,25,2391.86,73,21,Pakistan,Australia,95.67,True,Medium,PeakHire Group 73,Manufacturing,Priya Taylor,Mid
154,Data Analyst,2024-03-28,2024-04-29,32,2477.8199999999997,36,19,India,United Kingdom,77.43,False,Medium,RapidHire Partners 36,Retail,Aisha Wilson,Junior
155,Senior IT Support,2023-02-28,2023-03-30,30,4552.04,37,3,India,United Kingdom,151.73,False,Medium,PeakHire Group 37,Healthcare,Lisa Singh,Senior
156,HR Manager,2023-02-12,2023-03-19,35,5313.56,74,21,Kenya,United States,151.82,False,High,TalentBridge Solutions 74,Technology,Priya Taylor,Mid
157,HR Manager,2024-04-06,2024-05-07,31,2504.1,44,23,India,United Kingdom,80.78,False,Medium,TrueNorth Staffing 44,Healthcare,Zara Smith,Senior
158,Junior Developer,2024-03-25,2024-04-28,34,1117.43,79,6,Philippines,UAE,32.87,False,Low,BrightForce Group 79,Finance,Emma Smith,Mid
159,HR Manager,2023-02-23,2023-03-21,26,5043.85,83,11,India,United Kingdom,193.99,True,High,TalentBridge Solutions 83,Technology,Ahmed Smith,Mid
160,HR Manager,2023-06-03,2023-06-26,23,4420.73,75,22,India,United States,192.21,True,Medium,GlobalStaff Partners 75,Retail,Sarah Taylor,Mid
161,Data Analyst,2024-02-06,2024-03-10,33,3903.09,91,3,Nigeria,UAE,118.28,False,Medium,BrightForce Group 91,Retail,Lisa Singh,Senior
162,Data Analyst,2024-06-23,2024-07-23,30,3439.55,86,14,Philippines,Australia,114.65,False,Medium,TalentBridge Solutions 86,Retail,Omar Singh,Senior
163,Data Analyst,2023-12-16,2024-01-07,22,1926.6,63,7,India,United States,87.57,True,Low,PeakHire Group 63,Technology,Sarah Johnson,Junior
164,Senior IT Support,2024-06-03,2024-06-20,17,4478.96,95,29,Pakistan,Australia,263.47,True,Medium,ProLink HR 95,Healthcare,Sarah Patel,Junior
165,Data Analyst,2024-01-21,2024-02-15,25,3629.18,24,27,Pakistan,Australia,145.17,True,Medium,ClearPath Hiring 24,Healthcare,Zara Ahmed,Junior
166,Junior Developer,2024-01-09,2024-02-20,42,2471.31,31,15,Nigeria,Australia,58.84,False,Medium,BlueStar Recruitment 31,Manufacturing,Emma Williams,Senior
167,HR Manager,2024-04-25,2024-05-29,34,4170.01,25,12,India,Australia,122.65,False,Medium,NexGen Recruitment 25,Retail,Emma Khan,Senior
168,Data Analyst,2024-03-04,2024-04-04,31,3334.37,26,26,Philippines,Australia,107.56,False,Medium,ProLink HR 26,Manufacturing,David Smith,Junior
169,Senior IT Support,2023-04-16,2023-05-05,19,6205.9,67,28,Pakistan,United Kingdom,326.63,True,High,NexGen Recruitment 67,Technology,Zara Malik,Junior
170,Junior Developer,2023-05-31,2023-06-23,23,1818.37,12,30,India,United States,79.06,True,Low,SwiftTalent Agency 12,Healthcare,Raj Ali,Junior
